,0
0,dog_bark
1,dog_bark
2,dog_bark
3,engine_idling
4,engine_idling
5,engine_idling
6,car_horn
7,car_horn
8,dog_bark
9,dog_bark
10,dog_bark
11,dog_bark
12,dog_bark
13,dog_bark
14,engine_idling
15,engine_idling
16,engine_idling
17,engine_idling
18,engine_idling
19,engine_idling
20,engine_idling
21,engine_idling
22,engine_idling
23,engine_idling
24,engine_idling
25,engine_idling
26,engine_idling
27,engine_idling
28,engine_idling
29,engine_idling
30,engine_idling
31,engine_idling
32,engine_idling
33,engine_idling
34,engine_idling
35,engine_idling
36,engine_idling
37,engine_idling
38,engine_idling
39,engine_idling
40,engine_idling
41,engine_idling
42,engine_idling
43,engine_idling
44,engine_idling
45,engine_idling
46,engine_idling
47,engine_idling
48,engine_idling
49,engine_idling
50,engine_idling
51,engine_idling
52,engine_idling
53,engine_idling
54,engine_idling
55,engine_idling
56,engine_idling
57,engine_idling
58,engine_idling
59,engine_idling
60,engine_idling
61,engine_idling
62,engine_idling
63,engine_idling
64,engine_idling
65,engine_idling
66,engine_idling
67,engine_idling
68,dog_bark
69,dog_bark
70,street_music
71,street_music
72,street_music
73,street_music
74,street_music
75,street_music
76,siren
77,siren
78,siren
79,siren
80,siren
81,siren
82,siren
83,siren
84,siren
85,siren
86,siren
87,siren
88,siren
89,dog_bark
90,dog_bark
91,dog_bark
92,dog_bark
93,car_horn
94,car_horn
95,car_horn
96,car_horn
97,car_horn
98,jackhammer
99,jackhammer
100,jackhammer
101,jackhammer
102,jackhammer
103,jackhammer
104,jackhammer
105,jackhammer
106,jackhammer
107,jackhammer
108,jackhammer
109,jackhammer
110,jackhammer
111,jackhammer
112,jackhammer
113,jackhammer
114,jackhammer
115,jackhammer
116,jackhammer
117,jackhammer
118,jackhammer
119,jackhammer
120,jackhammer
121,jackhammer
122,jackhammer
123,jackhammer
124,jackhammer
125,jackhammer
126,jackhammer
127,jackhammer
128,jackhammer
129,jackhammer
130,jackhammer
131,jackhammer
132,jackhammer
133,jackhammer
134,jackhammer
135,jackhammer
136,jackhammer
137,jackhammer
138,jackhammer
139,jackhammer
140,jackhammer
141,jackhammer
142,jackhammer
143,street_music
144,street_music
145,street_music
146,street_music
147,street_music
148,street_music
149,street_music
150,gun_shot
151,children_playing
152,children_playing
153,children_playing
154,children_playing
155,children_playing
156,children_playing
157,children_playing
158,children_playing
159,siren
160,siren
161,siren
162,siren
163,siren
164,siren
165,car_horn
166,drilling
167,drilling
168,drilling
169,children_playing
170,children_playing
171,children_playing
172,children_playing
173,children_playing
174,children_playing
175,children_playing
176,children_playing
177,street_music
178,street_music
179,street_music
180,street_music
181,street_music
182,street_music
183,dog_bark
184,dog_bark
185,dog_bark
186,gun_shot
187,gun_shot
188,gun_shot
189,gun_shot
190,gun_shot
191,gun_shot
192,gun_shot
193,gun_shot
194,gun_shot
195,gun_shot
196,dog_bark
197,drilling
198,siren
199,siren
200,siren
201,siren
202,siren
203,siren
204,siren
205,siren
206,siren
207,siren
208,siren
209,siren
210,siren
211,siren
212,siren
213,siren
214,siren
215,siren
216,siren
217,gun_shot
218,street_music
219,street_music
220,street_music
221,street_music
222,street_music
223,street_music
224,car_horn
225,car_horn
226,dog_bark
227,dog_bark
228,engine_idling
229,engine_idling
230,engine_idling
231,engine_idling
232,engine_idling
233,engine_idling
234,engine_idling
235,dog_bark
236,dog_bark
237,dog_bark
238,dog_bark
239,siren
240,siren
241,siren
242,siren
243,siren
244,siren
245,siren
246,siren
247,siren
248,siren
249,siren
250,siren
251,siren
252,siren
253,siren
254,siren
255,siren
256,siren
257,siren
258,siren
259,siren
260,siren
261,siren
262,siren
263,siren
264,siren
265,siren
266,siren
267,gun_shot
268,children_playing
269,children_playing
270,children_playing
271,children_playing
272,children_playing
273,children_playing
274,children_playing
275,drilling
276,drilling
277,drilling
278,drilling
279,drilling
280,drilling
281,drilling
282,drilling
283,drilling
284,drilling
285,drilling
286,drilling
287,drilling
288,drilling
289,drilling
290,drilling
291,drilling
292,air_conditioner
293,air_conditioner
294,air_conditioner
295,air_conditioner
296,air_conditioner
297,air_conditioner
298,air_conditioner
299,air_conditioner
300,air_conditioner
301,air_conditioner
302,air_conditioner
303,air_conditioner
304,air_conditioner
305,air_conditioner
306,air_conditioner
307,air_conditioner
308,air_conditioner
309,air_conditioner
310,gun_shot
311,gun_shot
312,gun_shot
313,gun_shot
314,gun_shot
315,gun_shot
316,gun_shot
317,gun_shot
318,gun_shot
319,car_horn
320,drilling
321,drilling
322,drilling
323,drilling
324,drilling
325,drilling
326,drilling
327,drilling
328,drilling
329,drilling
330,drilling
331,drilling
332,drilling
333,drilling
334,drilling
335,drilling
336,drilling
337,drilling
338,drilling
339,drilling
340,drilling
341,drilling
342,drilling
343,drilling
344,drilling
345,street_music
346,street_music
347,street_music
348,street_music
349,street_music
350,street_music
351,children_playing
352,children_playing
